,losses
0,4.7683715e-09
1,-0.0016422891
2,-0.0026361255
3,-0.003279448
4,-0.0037818588
5,-0.0042786235
6,-0.00481719
7,-0.0053563807
8,-0.005914448
9,-0.0064410083
10,-1.2354417e-08
11,-0.00022863908
12,-0.0005313583
13,-0.00088898616
14,-0.001289668
15,-0.0017173121
16,-0.0021720997
17,-0.002646644
18,-0.003124954
19,-0.0035651887
20,-1.18342314e-07
21,-0.0005213538
22,-0.0013712111
23,-0.0023406078
24,-0.0034038268
25,-0.0045510354
26,-0.0057190973
27,-0.006821805
28,-0.0077285273
29,-0.008529619
30,5.7653946e-08
31,-6.2953775e-05
32,-0.00023121314
33,-0.00048752112
34,-0.0008242091
35,-0.0011180544
36,-0.001241437
37,-0.0013621645
38,-0.0015087747
39,-0.0016830759
40,1.12273476e-07
41,1.09074335e-05
42,-1.0348233e-05
43,-6.300948e-05
44,-0.00014791402
45,-0.0002588062
46,-0.0003917265
47,-0.0005435688
48,-0.0007130627
49,-0.00089874485
50,1.4543534e-07
51,-0.00015006369
52,-0.00036492824
53,-0.000633238
54,-0.0009089999
55,-0.0011060104
56,-0.0013462207
57,-0.001655449
58,-0.002019841
59,-0.002435645
60,7.8027895e-08
61,-0.00030586653
62,-0.00072882045
63,-0.0010041514
64,-0.0012652713
65,-0.0015712486
66,-0.0019516706
67,-0.0023730875
68,-0.0027875036
69,-0.0032120063
70,-1.874837e-07
71,-0.0005170898
72,-0.0010670084
73,-0.001249717
74,-0.0013671536
75,-0.0015271633
76,-0.0017853746
77,-0.0021486154
78,-0.0025720417
79,-0.002991698
80,-4.5733017e-08
81,-0.0003130152
82,-0.00075772806
83,-0.001107984
84,-0.0014247004
85,-0.0017390118
86,-0.0020318122
87,-0.002306184
88,-0.002585375
89,-0.0028803898
90,5.5269762e-08
91,-0.0003730037
92,-0.00086369755
93,-0.0013691765
94,-0.0014932008
95,-0.0014501886
96,-0.0013909191
97,-0.0014841316
98,-0.0017960134
99,-0.0022463745
100,-5.635348e-09
101,-0.00033373313
102,-0.0008065219
103,-0.0011009056
104,-0.0013145512
105,-0.0015066455
106,-0.0017766913
107,-0.0022252693
108,-0.0027670648
109,-0.003161296
110,-1.3221394e-08
111,-0.0003497037
112,-0.00085474795
113,-0.0012947967
114,-0.0017848435
115,-0.0022972529
116,-0.002805108
117,-0.0032353473
118,-0.0035009452
119,-0.0037958366
120,2.7526509e-08
121,-0.00055652205
122,-0.00062207785
123,-0.0008897038
124,-0.0016541615
125,-0.002676885
126,-0.0031168314
127,-0.0036479405
128,-0.004110347
129,-0.0045924913
130,6.935813e-08
131,-0.000281801
132,-0.00061525626
133,-0.0009909992
134,-0.0014046911
135,-0.0018375195
136,-0.002217975
137,-0.0025100755
138,-0.0026147692
139,-0.0026574053
140,-1.6906045e-08
141,-2.0182133e-05
142,-0.00010693138
143,-0.00025074938
144,-0.00044158805
145,-0.00067229423
146,-0.00094116083
147,-0.0011931888
148,-0.0014008353
149,-0.0016248745
150,-2.1674416e-09
151,-0.00043330822
152,-0.0010166777
153,-0.0017256013
154,-0.002420626
155,-0.0029750795
156,-0.0033540486
157,-0.003532144
158,-0.003657035
159,-0.0038335558
160,-8.019534e-08
161,-0.000346671
162,-0.0008996335
163,-0.001599548
164,-0.0022330068
165,-0.0026696743
166,-0.002931973
167,-0.0029724897
168,-0.002949101
169,-0.0030181364
170,-1.3308092e-07
171,-0.00013376474
172,-0.0003221514
173,-0.0005552864
174,-0.00082919444
175,-0.0011342369
176,-0.0014699285
177,-0.0018206722
178,-0.0021247223
179,-0.002381957
180,-1.521544e-07
181,-0.0002197543
182,-0.00053058605
183,-0.00092522794
184,-0.0013176653
185,-0.0014453054
186,-0.001350716
187,-0.0012494192
188,-0.0012340834
189,-0.0013452104
190,-3.0344182e-08
191,-0.00010691058
192,-0.00031570674
193,-0.0006133591
194,-0.0009866228
195,-0.0014229799
196,-0.0019183116
197,-0.002435869
198,-0.002945363
199,-0.0034391363
200,1.5713952e-07
201,-6.28337e-05
202,-0.00022657763
203,-0.00048870867
204,-0.00079342147
205,-0.0010640088
206,-0.0012627168
207,-0.0014764738
208,-0.0017463799
209,-0.002091964
210,-8.756464e-08
211,-0.00016653018
212,-0.00043666427
213,-0.0007982876
214,-0.0012491039
215,-0.001780273
216,-0.002386137
217,-0.003050441
218,-0.0037473622
219,-0.0043950174
220,4.2481854e-08
221,-0.0004755109
222,-0.0010476598
223,-0.0017017282
224,-0.0023862608
225,-0.0029138003
226,-0.0032127933
227,-0.0033046096
228,-0.0033341455
229,-0.0033653025
230,-1.07071614e-07
231,-5.6885805e-05
232,-0.0001950136
233,-0.0004062427
234,-0.0006836421
235,-0.0010027922
236,-0.0013169183
237,-0.0016134408
238,-0.0018941303
239,-0.0021122114
240,9.861859e-08
241,-1.4058894e-05
242,-0.000110349436
243,-0.00028360606
244,-0.00049742765
