,losses
0,9.905208e-08
1,-0.00048492497
2,-0.00072084815
3,-0.0009252767
4,-0.0012072108
5,-0.0014157079
6,-0.0015565348
7,-0.0017305313
8,-0.0019571143
9,-0.0021800727
10,7.6293944e-08
11,-0.00015976733
12,-0.00046246874
13,-0.00086827454
14,-0.0013175756
15,-0.0014195216
16,-0.0014143297
17,-0.0017263393
18,-0.0021694386
19,-0.0024815681
20,-2.0373951e-08
21,-0.0005517203
22,-0.0013178539
23,-0.002182984
24,-0.002274125
25,-0.0015840218
26,-0.0014144726
27,-0.0018687582
28,-0.0025127896
29,-0.002749906
30,-5.0718135e-08
31,-0.00053924386
32,-0.0012213291
33,-0.0018983169
34,-0.0022048021
35,-0.0017366331
36,-0.0014348478
37,-0.0015704388
38,-0.002071388
39,-0.0026864377
40,-4.378232e-08
41,9.670691e-06
42,-4.369562e-05
43,-0.00014912822
44,-0.00029888804
45,-0.0004621042
46,-0.00057283486
47,-0.00063974166
48,-0.000694105
49,-0.0007583675
50,8.53972e-08
51,-0.00014067824
52,-0.00033853445
53,-0.00058815174
54,-0.0008855872
55,-0.001229669
56,-0.0015766473
57,-0.0018274082
58,-0.0019529326
59,-0.0020343112
60,-3.6846508e-08
61,-0.00011682012
62,-0.0003615544
63,-0.0007228708
64,-0.0011943319
65,-0.0016899967
66,-0.0019564722
67,-0.0018487955
68,-0.0019303374
69,-0.002301615
70,3.9880927e-08
71,-0.00092672004
72,-0.0020886206
73,-0.0027683647
74,-0.0017882746
75,-0.0011196899
76,-0.0015714385
77,-0.002516907
78,-0.0029780627
79,-0.0027103415
80,2.2107905e-08
81,-5.1071427e-05
82,-0.00020935449
83,-0.00046223856
84,-0.00079600204
85,-0.0011849785
86,-0.0015387686
87,-0.0016821286
88,-0.0018026554
89,-0.0020261274
90,4.378232e-08
91,-0.0005229798
92,-0.001144534
93,-0.0018099884
94,-0.0023094933
95,-0.0024083129
96,-0.0021697248
97,-0.0021215188
98,-0.0025548476
99,-0.003275154
100,-2.0157207e-08
101,-0.00020886508
102,-0.00044128852
103,-0.00066655054
104,-0.00070156966
105,-0.0004245212
106,-0.00029760014
107,-0.00043186056
108,-0.00078986946
109,-0.0011326515
110,3.5979532e-08
111,-0.00022316283
112,-0.0005516239
113,-0.00096819835
114,-0.0014008943
115,-0.0017166515
116,-0.0017671178
117,-0.0016505125
118,-0.0017144532
119,-0.0019186853
120,-2.8176741e-08
121,-0.00027784088
122,-0.0006551686
123,-0.0011216032
124,-0.001483994
125,-0.0013560235
126,-0.0011749185
127,-0.0011910866
128,-0.0015161845
129,-0.0018952311
130,5.5919994e-08
131,0.00019975402
132,0.00019020124
133,-4.4033745e-06
134,-0.00036090612
135,-0.0008582033
136,-0.00147711
137,-0.0021996144
138,-0.002986238
139,-0.003530709
140,-1.9506974e-08
141,-0.00030234316
142,-0.0006109047
143,-0.00088189647
144,-0.0009324069
145,-0.00060664566
146,-0.0004149957
147,-0.0006602131
148,-0.0011999737
149,-0.0016136826
150,-4.5082786e-08
151,7.117315e-05
152,-0.00012343169
153,-0.0005510549
154,-0.0011835891
155,-0.001983297
156,-0.002638637
157,-0.0026858551
158,-0.0023765152
159,-0.0021411951
160,4.6599997e-08
161,-0.0001731801
162,-0.0004956677
163,-0.0009504767
164,-0.0015211307
165,-0.002140293
166,-0.0026115894
167,-0.0028259
168,-0.0027824373
169,-0.0028224625
170,-9.363348e-08
171,-2.517787e-05
172,-8.060835e-05
173,-0.00016524705
174,-0.0002760083
175,-0.00041057338
176,-0.0005690146
177,-0.0007501212
178,-0.0009523164
179,-0.0011737149
180,6.025488e-08
181,-5.6875837e-05
182,-0.00016969854
183,-0.0003333302
184,-0.00053730723
185,-0.00078207947
186,-0.0010649529
187,-0.0013832055
188,-0.0017086556
189,-0.0019335877
190,-1.0620464e-07
191,4.4359294e-05
192,3.6262165e-05
193,-1.5078241e-05
194,-0.00010048476
195,-0.00021189213
196,-0.0003486399
197,-0.00050943095
198,-0.0006849844
199,-0.00087768165
200,-2.297488e-08
201,-0.00018504966
202,-0.00044164507
203,-0.00076700386
204,-0.0011519609
205,-0.0015858663
206,-0.0020071017
207,-0.0023040152
208,-0.0024762114
209,-0.0026774728
210,1.5172091e-08
211,-0.00041824038
212,-0.0011590905
213,-0.002162595
214,-0.0030888815
215,-0.0031701655
216,-0.0028068174
217,-0.0024173828
218,-0.0027081291
219,-0.0036182657
220,-6.979162e-08
221,-0.0008386885
222,-0.0018074552
223,-0.0023979885
224,-0.00211032
225,-0.0017748395
226,-0.0019684874
227,-0.002813442
228,-0.0037989344
229,-0.004503872
230,-5.93879e-08
231,-0.00041189996
232,-0.0008894097
233,-0.0013486283
234,-0.0013204059
235,-0.0008656042
236,-0.00074886146
237,-0.0012214684
238,-0.0019743908
239,-0.002378961
240,-8.669766e-09
241,3.505447e-05
242,-0.000128277
243,-0.0004731304
244,-0.0009802866
245,-0.0016251716
246,-0.002375234
247,-0.0031618534
248,-0.003784543
249,-0.0039236527
250,6.9358133e-09
251,-9.262518e-05
252,-0.0002081663
253,-0.00034747212
254,-0.00046578408
255,-0.0005592426
256,-0.0005777706
257,-0.00066021184
258,-0.00085628143
259,-0.0011237292
260,-6.2422316e-08
261,-0.00029914422
262,-0.0007615805
263,-0.0013633585
264,-0.0019638282
265,-0.0022599965
266,-0.0018673849
267,-0.0014868292
268,-0.001579716
269,-0.0021324873
270,-1.66893e-08
271,-0.00033075246
272,-0.0008912455
273,-0.0016454745
274,-0.0023387189
275,-0.002699627
276,-0.0026937989
277,-0.0025583606
278,-0.0026177608
279,-0.0030107903
280,-1.5605579e-08
281,6.468599e-05
282,-2.9358647e-05
283,-0.00026459608
284,-0.000621389
285,-0.0010806764
286,-0.0015225532
287,-0.0017926454
288,-0.0018895761
289,-0.0018168399
290,-1.6472557e-08
291,8.404428e-05
292,3.19806e-06
293,-0.00022575898
294,-0.0005872325
295,-0.0010694922
296,-0.0016392673
297,-0.0022489154
298,-0.0023134418
299,-0.0018690417
300,-9.103255e-09
301,-8.282575e-05
302,-0.00021065734
303,-0.0003750682
304,-0.0005706945
305,-0.00079324614
306,-0.0010009386
307,-0.0011943401
308,-0.0013749955
309,-0.0015279417
310,3.3595345e-08
311,-9.327542e-05
312,-0.0002709211
313,-0.00052261393
314,-0.0008363843
315,-0.0012012781
316,-0.0016081047
317,-0.002018218
318,-0.002343875
319,-0.0024590301
320,-6.67572e-08
321,5.858703e-05
322,6.603219e-05
323,2.4087645e-05
324,-6.220438e-05
325,-0.00019018714
326,-0.00035518635
327,-0.0005264931
328,-0.00070937007
329,-0.00090383424
330,-4.118139e-09
331,-0.00053369056
332,-0.0013171172
333,-0.0023285674
334,-0.0033982317
335,-0.003750451
336,-0.0033578381
337,-0.0031677885
338,-0.0035629056
339,-0.004446948
340,-4.4649298e-08
341,0.00037616913
342,0.00027958967
343,-0.000232498
344,-0.0011109166
345,-0.0022924584
346,-0.0035331573
347,-0.004123517
348,-0.003984671
349,-0.0036053488
350,-5.8087437e-08
351,-0.00026325355
352,-0.00058124674
353,-0.0009443684
354,-0.0013376466
355,-0.001717623
356,-0.001997095
357,-0.0021501202
358,-0.0022031157
359,-0.002379257
360,-2.0373951e-08
361,-0.00050122
362,-0.0012877046
363,-0.002328962
364,-0.0031582864
365,-0.0029710224
366,-0.002269781
367,-0.0019579898
368,-0.002240327
369,-0.002961248
370,1.8856742e-08
371,-0.00047326804
372,-0.0010529661
373,-0.0016869673
374,-0.0019330031
375,-0.0018708502
376,-0.0019852016
377,-0.0025785
378,-0.003465816
379,-0.004260162
380,-3.5979532e-08
381,0.00014164145
382,0.00013495467
383,-8.185669e-06
384,-0.00027529598
385,-0.00065614225
386,-0.0011404904
387,-0.0017148759
388,-0.0023462567
389,-0.0029185673
390,-6.9358133e-09
391,-6.695617e-05
392,-0.0001673046
393,-0.000301505
394,-0.00046857205
395,-0.00066624774
396,-0.00088659546
397,-0.001083948
398,-0.0013035337
399,-0.0015551377
400,2.3841857e-09
401,-0.000109264416
402,-0.0002605733
403,-0.00045021513
404,-0.0006742798
405,-0.0009291972
406,-0.0012126383
407,-0.0014818074
408,-0.001651915
409,-0.0016757665
410,-1.040372e-08
411,-0.000331482
412,-0.00096849183
413,-0.001858214
414,-0.0028845193
415,-0.003295386
416,-0.0029254477
417,-0.002820201
418,-0.003366036
419,-0.00413119
420,1.7989766e-08
421,0.00015061638
422,0.00017130375
423,6.85551e-05
424,-0.00013647709
425,-0.00040797537
426,-0.00073203497
427,-0.0010761465
428,-0.0013056621
429,-0.0015813422
430,-1.7339533e-09
431,0.00013251782
432,0.00017969348
433,0.00015478654
434,6.717313e-05
435,-7.6405355e-05
436,-0.00027117145
437,-0.00051596644
438,-0.00081028655
439,-0.0011548701
440,-1.7339532e-08
441,-0.0003371397
442,-0.00073286577
443,-0.0011831765
444,-0.0015900157
445,-0.0014671425
446,-0.0010254717
447,-0.00092562113
448,-0.0012613162
449,-0.0018580103
450,-1.6255813e-08
451,-8.984067e-05
452,-0.00029899576
453,-0.00061526167
454,-0.000992496
455,-0.0012565515
456,-0.0011223106
457,-0.0010065803
458,-0.0012735184
459,-0.0017431745
460,5.635348e-09
461,7.651828e-05
462,6.370393e-05
463,-2.8215321e-05
464,-0.00019010891
465,-0.00041031706
466,-0.00067685713
467,-0.00094488275
468,-0.0012013637
469,-0.0015486884
470,-2.1674416e-09
471,0.00021650358
472,0.00025044224
473,0.000120637415
474,-0.00015761635
475,-0.0005719341
476,-0.0011089871
477,-0.0016995065
478,-0.0019778924
479,-0.0018329095
480,2.3841857e-09
481,-4.4082404e-05
482,-0.00013298522
483,-0.00026203436
484,-0.0004290766
485,-0.00062901474
486,-0.0008610931
487,-0.0011205107
488,-0.0014031007
489,-0.0016771321
490,-1.7339533e-09
491,-0.00020779307
492,-0.0005073506
493,-0.0008879159
494,-0.0013417972
495,-0.0017438661
496,-0.0018897871
497,-0.0017126391
498,-0.0016351945
499,-0.0018331755
500,-5.4186042e-09
501,-0.00084704085
502,-0.0020843835
503,-0.003590984
504,-0.0042840587
505,-0.0036771006
506,-0.0028534674
507,-0.002846352
508,-0.00370194
509,-0.0047126473
510,1.2571161e-08
511,-0.0003878109
512,-0.001116561
513,-0.002011524
