,losses
0,15025994.0
1,15025924.0
2,15025850.0
3,15025778.0
4,15025707.0
5,15025634.0
6,15025563.0
7,15025491.0
8,15025420.0
9,15025349.0
10,16924558.0
11,16924494.0
12,16924432.0
13,16924368.0
14,16924306.0
15,16924244.0
16,16924178.0
17,16924116.0
18,16924050.0
19,16923984.0
20,20201152.0
21,20201062.0
22,20200970.0
23,20200872.0
24,20200778.0
25,20200678.0
26,20200576.0
27,20200474.0
28,20200370.0
29,20200262.0
30,18207884.0
31,18207792.0
32,18207700.0
33,18207604.0
34,18207510.0
35,18207408.0
36,18207312.0
37,18207210.0
38,18207108.0
39,18207002.0
40,16418522.0
41,16418425.0
42,16418326.0
43,16418226.0
44,16418123.0
45,16418019.0
46,16417917.0
47,16417807.0
48,16417695.0
49,16417585.0
50,18098710.0
51,18098558.0
52,18098396.0
53,18098232.0
54,18098060.0
55,18097886.0
56,18097704.0
57,18097520.0
58,18097328.0
59,18097134.0
60,18208338.0
61,18208150.0
62,18207956.0
63,18207758.0
64,18207556.0
65,18207350.0
66,18207138.0
67,18206918.0
68,18206696.0
69,18206468.0
70,12631128.0
71,12630999.0
72,12630862.0
73,12630723.0
74,12630582.0
75,12630440.0
76,12630293.0
77,12630144.0
78,12629993.0
79,12629839.0
80,13884117.0
81,13883952.0
82,13883782.0
83,13883608.0
84,13883429.0
85,13883247.0
86,13883060.0
87,13882870.0
88,13882675.0
89,13882475.0
90,14213334.0
91,14213093.0
92,14212843.0
93,14212581.0
94,14212308.0
95,14212027.0
96,14211738.0
97,14211438.0
98,14211131.0
99,14210816.0
100,15478459.0
101,15478083.0
102,15477689.0
103,15477280.0
104,15476857.0
105,15476421.0
106,15475973.0
107,15475515.0
108,15475044.0
109,15474563.0
110,16267636.0
111,16267132.0
112,16266609.0
113,16266071.0
114,16265521.0
115,16264959.0
116,16264384.0
117,16263799.0
118,16263202.0
119,16262595.0
120,15560824.0
121,15560125.0
122,15559404.0
123,15558666.0
124,15557909.0
125,15557139.0
126,15556348.0
127,15555546.0
128,15554728.0
129,15553896.0
130,13652039.0
131,13651517.0
132,13650991.0
133,13650462.0
134,13649927.0
135,13649389.0
136,13648849.0
137,13648303.0
138,13647754.0
139,13647201.0
140,11381330.0
141,11380926.0
142,11380524.0
143,11380127.0
144,11379731.0
145,11379336.0
146,11378941.0
147,11378550.0
148,11378156.0
149,11377761.0
150,16675406.0
151,16674909.0
152,16674401.0
153,16673880.0
154,16673347.0
155,16672805.0
156,16672250.0
157,16671688.0
158,16671111.0
159,16670530.0
160,16932234.0
161,16931490.0
162,16930716.0
163,16929914.0
164,16929090.0
165,16928242.0
166,16927372.0
167,16926480.0
168,16925570.0
169,16924642.0
170,15760350.0
171,15759500.0
172,15758628.0
173,15757744.0
174,15756843.0
175,15755927.0
176,15755000.0
177,15754054.0
178,15753097.0
179,15752123.0
180,16228479.0
181,16227375.0
182,16226241.0
183,16225083.0
184,16223904.0
185,16222700.0
186,16221473.0
187,16220227.0
188,16218959.0
189,16217674.0
190,13203647.0
191,13202756.0
192,13201863.0
193,13200966.0
194,13200065.0
195,13199161.0
196,13198252.0
197,13197338.0
198,13196419.0
199,13195496.0
200,13188566.0
201,13187329.0
202,13186051.0
203,13184733.0
204,13183376.0
205,13181988.0
206,13180569.0
207,13179117.0
208,13177637.0
209,13176133.0
210,15140849.0
211,15139699.0
212,15138552.0
213,15137405.0
214,15136258.0
215,15135108.0
216,15133956.0
217,15132800.0
218,15131637.0
219,15130470.0
220,10487969.0
221,10487058.0
222,10486155.0
223,10485258.0
224,10484363.0
225,10483473.0
226,10482582.0
227,10481694.0
228,10480804.0
229,10479909.0
230,9673732.0
231,9672765.0
232,9671787.0
233,9670799.0
234,9669800.0
235,9668791.0
236,9667772.0
237,9666743.0
238,9665702.0
239,9664651.0
240,14186878.0
241,14185708.0
242,14184513.0
243,14183296.0
244,14182053.0
245,14180790.0
246,14179505.0
247,14178203.0
248,14176880.0
249,14175539.0
250,12946760.0
251,12945347.0
252,12943895.0
253,12942409.0
254,12940888.0
255,12939337.0
256,12937757.0
257,12936150.0
258,12934515.0
259,12932857.0
260,14349306.0
261,14347578.0
262,14345819.0
263,14344033.0
264,14342219.0
265,14340382.0
266,14338521.0
267,14336635.0
268,14334726.0
269,14332797.0
270,10373574.0
271,10371941.0
272,10370294.0
273,10368630.0
274,10366953.0
275,10365261.0
276,10363556.0
277,10361836.0
278,10360102.0
279,10358354.0
280,14547441.0
281,14545196.0
282,14542890.0
283,14540526.0
284,14538112.0
285,14535646.0
286,14533136.0
287,14530583.0
288,14527987.0
289,14525354.0
290,14039438.0
291,14037671.0
292,14035905.0
293,14034141.0
294,14032377.0
295,14030612.0
296,14028847.0
297,14027078.0
298,14025305.0
299,14023531.0
300,13301234.0
301,13299805.0
302,13298364.0
303,13296917.0
304,13295461.0
305,13294000.0
306,13292533.0
307,13291059.0
308,13289581.0
309,13288097.0
310,9474701.0
311,9473520.0
312,9472329.0
313,9471127.0
314,9469914.0
315,9468693.0
316,9467465.0
317,9466227.0
318,9464982.0
319,9463732.0
320,15459584.0
321,15458243.0
322,15456802.0
323,15455269.0
324,15453656.0
325,15451968.0
326,15450213.0
327,15448395.0
328,15446520.0
329,15444593.0
330,14340636.0
331,14338216.0
332,14335679.0
333,14333034.0
