,losses
0,33347.965
1,33175.33
2,33003.527
3,32832.58
4,32662.486
5,32493.27
6,32324.934
7,32157.484
8,31990.924
9,31825.273
10,28403.254
11,28255.91
12,28109.01
13,27962.777
14,27817.299
15,27672.64
16,27528.828
17,27385.865
18,27243.768
19,27102.535
20,30527.953
21,30379.012
22,30229.64
23,30080.043
24,29930.387
25,29780.81
26,29631.457
27,29482.428
28,29333.797
29,29185.656
30,26537.645
31,26402.805
32,26269.19
33,26136.742
34,26005.428
35,25875.215
36,25746.066
37,25617.95
38,25490.836
39,25364.695
40,111559.59
41,111499.74
42,111441.03
43,111383.62
44,111327.52
45,111272.73
46,111219.16
47,111166.734
48,111115.414
49,111065.086
50,27864.232
51,27764.955
52,27660.672
53,27552.043
54,27439.662
55,27324.04
56,27205.668
57,27084.947
58,26962.26
59,26837.938
60,25291.002
61,25169.176
62,25046.814
63,24924.092
64,24801.162
65,24678.148
66,24555.172
67,24432.346
68,24309.758
69,24187.482
70,23077.307
71,22962.611
72,22848.7
73,22735.566
74,22623.219
75,22511.654
76,22400.875
77,22290.88
78,22181.674
79,22073.248
80,22497.828
81,22390.637
82,22284.15
83,22178.373
84,22073.299
85,21968.922
86,21865.25
87,21762.275
88,21660.006
89,21558.426
90,22255.902
91,22147.828
92,22039.268
93,21930.387
94,21821.328
95,21712.217
96,21603.15
97,21494.234
98,21385.557
99,21277.193
100,20656.166
101,20560.791
102,20466.297
103,20372.643
104,20279.803
105,20187.754
106,20096.477
107,20005.936
108,19916.121
109,19827.012
110,20421.58
111,20331.65
112,20242.178
113,20153.172
114,20064.652
115,19976.617
116,19889.076
117,19802.043
118,19715.521
119,19629.518
120,19952.8
121,19865.611
122,19778.682
123,19692.057
124,19605.76
125,19519.812
126,19434.234
127,19349.055
128,19264.285
129,19179.934
130,20332.645
131,20247.35
132,20162.28
133,20077.479
134,19992.969
135,19908.783
136,19824.945
137,19741.473
138,19658.387
139,19575.695
140,18647.707
141,18569.227
142,18491.305
143,18413.932
144,18337.094
145,18260.793
146,18185.014
147,18109.742
148,18034.98
149,17960.719
150,19085.438
151,19008.967
152,18932.725
153,18856.73
154,18781.008
155,18705.582
156,18630.465
157,18555.68
158,18481.234
159,18407.139
160,19776.135
161,19701.172
162,19626.287
163,19551.523
164,19476.918
165,19402.5
166,19328.31
167,19254.363
168,19180.688
169,19107.3
170,17665.205
171,17595.443
172,17526.084
173,17457.133
174,17388.592
175,17320.455
176,17252.727
177,17185.41
178,17118.5
179,17051.996
180,16270.013
181,16206.08
182,16142.611
183,16079.591
184,16017.013
185,15954.869
186,15893.149
187,15831.849
188,15770.964
189,15710.483
190,16080.924
191,16021.218
192,15961.707
193,15902.4
194,15843.3125
195,15784.454
196,15725.836
197,15667.462
198,15609.344
199,15551.491
